profile_name,Origin_X,Origin_Y,Azimuth
OC142 (OC054),"458,388.72","148,264.49",126.84
OC143 (OC063),"457,907.50","147,621.80",126.828
OC144 (OC055),"457,382.93","146,921.34",124.59
OC145 (OC064),"456,914.60","146,242.30",124.592
OC146 (OC065),"456,346.80","145,419.00",124.592
OC147 (OC056),"455,792.30","144,614.72",124.59
OC148 (OC066),"455,154.70","143,690.50",124.592
OC149 (OC057),"454,518.66","142,768.24",125.45
OC150 (OC058),"453,869.53","141,857.11",125.45
OC151 (OC067),"453,399.10","141,196.20",125.45
OC152 (OC059),"452,598.66","140,072.03",121.88
OC153 (OC068),"451,617.20","138,493.90",121.89
LI001,"448,794.85","134,498.89",29.59
LI002,"448,819.31","134,419.88",50.75
LI003,"448,908.71","134,399.76",75.86
LI004,"449,268.37","133,977.09",84.4
LI005,"449,045.97","133,535.99",119.14
LI006,"448,485.48","132,710.49",127.05
LI007,"447,868.05","131,892.68",127.05
LI008,"447,081.20","131,267.77",131.93
LI009,"446,407.21","130,529.03",132.38
LI010,"445,729.17","129,785.85",127.56
LI011,"445,119.53","128,993.16",127.56
LI012,"444,509.90","128,200.48",127.56
LI013,"443,913.50","127,398.39",123.2
LI014,"443,365.97","126,561.61",123.2
LI015,"442,818.43","125,724.83",123.2
LI016,"442,290.19","124,876.44",118.86
LI017,"441,807.45","124,000.67",118.86
LI018,"441,345.83","123,113.96",115.95
LI019,"440,909.67","122,214.10",115.46
LI020,"440,479.78","121,311.22",115.46
LI021,"440,157.36","120,634.05",115.46
LI022,"439,834.94","119,956.89",115.46
LI023,"439,552.68","119,364.08",120.7
LI024,"439,195.31","118,762.17",120.7
LI025,"438,812.42","118,117.28",120.7
LI026,"438,506.10","117,601.36",120.7
LI027,"437,995.57","116,741.50",120.7
LI028,"437,511.87","115,926.82",120.7
LI029,"437,039.88","115,194.56",122.8
LI030,"436,775.02","114,770.47",121.99
LI031,"436,245.30","113,922.30",121.99
LI032,"435,760.72","113,048.78",116.63
LI033,"435,491.80","112,512.42",116.63
LI034,"435,089.57","111,597.31",112.85
LI035,"434,856.56","111,044.41",112.85
LI036,"434,495.56","110,187.82",112.85
LI037,"434,146.82","109,250.59",110.41
LI038,"433,937.58","108,688.26",110.41
LI039,"433,583.36","107,753.20",112.56
LI040,"433,314.85","107,106.75",112.56
LI041,"432,875.72","106,233.19",118.25
LI042,"432,475.14","105,601.92",128.98
